exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item1	Item2	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	hide_question
charityElaborateScenarios	100	elaborate	1	0	0	680	0	k	W	300	0	medicalTreatment	simpleChoice	a father	a soldier	XorY	k	Right Item	1180	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	1	0	680	0	k	W	300	0	bucketList	simpleChoice	a police officer	an elderly person	XorY	k	Right Item	308	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	2	0	680	0	k	W	300	0	hearingAids	simpleChoice	a thief	a terrorist	XorY	d	Left Item	3496	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	3	0	680	0	k	W	300	0	counseling	simpleChoice	a convict	a teacher	XorY	k	Right Item	3283	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	4	0	680	0	k	W	300	0	serviceDog	simpleChoice	an Olympian	an assassin	XorY	d	Left Item	4898	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	5	0	680	0	k	W	300	0	physicalTherapy	simpleChoice	an addict	a soldier	XorY	k	Right Item	1433	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	6	0	680	0	k	W	300	0	paralysis	simpleChoice	an addict	a mother	XorY	k	Right Item	2855	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	7	0	680	0	k	W	300	0	legalFees	simpleChoice	a nun	an Olympian	XorY	k	Right Item	4440	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	0	1	680	0	k	W	300	0	counseling	simpleChoice	a mother	a mentor	XorY	d	Left Item	2160	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	1	1	680	0	k	W	300	0	counseling	simpleChoice	a mentor	a nun	XorY	d	Left Item	1614	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	2	1	680	0	k	W	300	0	bucketList	simpleChoice	a thief	an elderly person	XorY	k	Right Item	1070	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	3	1	680	0	k	W	300	0	burntHouse	simpleChoice	a father	a thief	XorY	d	Left Item	941	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	4	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	an assassin	an astronaut	XorY	k	Right Item	1107	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	5	1	680	0	k	W	300	0	serviceDog	simpleChoice	an addict	a nun	XorY	d	Left Item	1695	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	6	1	680	0	k	W	300	0	legalFees	simpleChoice	a gang member	a congressman	XorY	k	Right Item	2772	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	7	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	a gang member	a nun	XorY	k	Right Item	2581	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	8	1	680	0	k	W	300	0	paralysis	simpleChoice	a terrorist	a mother	XorY	k	Right Item	1131	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	9	1	680	0	k	W	300	0	surgery	simpleChoice	a thief	an Olympian	XorY	k	Right Item	4098	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	10	1	680	0	k	W	300	0	surgery	simpleChoice	a nun	an adult	XorY	k	Right Item	950	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	11	1	680	0	k	W	300	0	surgery	simpleChoice	an Olympian	a pedophile	XorY	d	Left Item	1829	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	12	1	680	0	k	W	300	0	legalFees	simpleChoice	a mother	a convict	XorY	d	Left Item	849	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	13	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	a nun	a police officer	XorY	k	Right Item	292	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	14	1	680	0	k	W	300	0	hearingAids	simpleChoice	a pedophile	an addict	XorY	k	Right Item	886	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	15	1	680	0	k	W	300	0	burntHouse	simpleChoice	an adult	a soldier	XorY	d	Left Item	484	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	16	1	680	0	k	W	300	0	surgery	simpleChoice	a soldier	a pedophile	XorY	d	Left Item	976	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	17	1	680	0	k	W	300	0	paralysis	simpleChoice	a nun	a soldier	XorY	k	Right Item	885	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	18	1	680	0	k	W	300	0	surgery	simpleChoice	a father	an astronaut	XorY	d	Left Item	974	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	19	1	680	0	k	W	300	0	paralysis	simpleChoice	a rapist	a thief	XorY	k	Right Item	260	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	20	1	680	0	k	W	300	0	hearingAids	simpleChoice	a convict	a gang member	XorY	d	Left Item	1662	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	21	1	680	0	k	W	300	0	paralysis	simpleChoice	a gang member	a thief	XorY	k	Right Item	1474	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	22	1	680	0	k	W	300	0	surgery	simpleChoice	a judge	a teacher	XorY	k	Right Item	1163	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	23	1	680	0	k	W	300	0	hearingAids	simpleChoice	a thief	a police officer	XorY	k	Right Item	897	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	24	1	680	0	k	W	300	0	burntHouse	simpleChoice	a teacher	a congressman	XorY	d	Left Item	399	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	25	1	680	0	k	W	300	0	hearingAids	simpleChoice	an adult	a terrorist	XorY	d	Left Item	973	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	26	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	an addict	a father	XorY	k	Right Item	884	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	27	1	680	0	k	W	300	0	hearingAids	simpleChoice	an addict	a terrorist	XorY	d	Left Item	1355	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	28	1	680	0	k	W	300	0	hearingAids	simpleChoice	a convict	an addict	XorY	k	Right Item	1000	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	29	1	680	0	k	W	300	0	burntHouse	simpleChoice	a celebrity	a mentor	XorY	d	Left Item	786	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	30	1	680	0	k	W	300	0	legalFees	simpleChoice	a teacher	a mentor	XorY	k	Right Item	1178	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	31	1	680	0	k	W	300	0	legalFees	simpleChoice	a terrorist	a father	XorY	k	Right Item	554	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	32	1	680	0	k	W	300	0	bucketList	simpleChoice	a celebrity	an assassin	XorY	d	Left Item	1627	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	33	1	680	0	k	W	300	0	hearingAids	simpleChoice	a celebrity	a thief	XorY	d	Left Item	342	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	34	1	680	0	k	W	300	0	serviceDog	simpleChoice	a police officer	a judge	XorY	d	Left Item	1357	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	35	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	a congressman	a celebrity	XorY	k	Right Item	799	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	36	1	680	0	k	W	300	0	legalFees	simpleChoice	a teacher	an Olympian	XorY	d	Left Item	1198	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	37	1	680	0	k	W	300	0	serviceDog	simpleChoice	an elderly person	a rapist	XorY	d	Left Item	1323	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	38	1	680	0	k	W	300	0	paralysis	simpleChoice	a mentor	a terrorist	XorY	d	Left Item	1105	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	39	1	680	0	k	W	300	0	paralysis	simpleChoice	an assassin	a nun	XorY	k	Right Item	913	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	40	1	680	0	k	W	300	0	bucketList	simpleChoice	a father	a rapist	XorY	d	Left Item	885	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	41	1	680	0	k	W	300	0	paralysis	simpleChoice	a convict	a judge	XorY	k	Right Item	1199	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	42	1	680	0	k	W	300	0	serviceDog	simpleChoice	a thief	a congressman	XorY	k	Right Item	880	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	43	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	an addict	an assassin	XorY	k	Right Item	639	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	44	1	680	0	k	W	300	0	surgery	simpleChoice	a mentor	a celebrity	XorY	d	Left Item	663	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	45	1	680	0	k	W	300	0	counseling	simpleChoice	a soldier	an elderly person	XorY	d	Left Item	831	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	46	1	680	0	k	W	300	0	counseling	simpleChoice	a congressman	a celebrity	XorY	d	Left Item	1141	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	47	1	680	0	k	W	300	0	bucketList	simpleChoice	an addict	an elderly person	XorY	k	Right Item	703	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	48	1	680	0	k	W	300	0	legalFees	simpleChoice	a father	a convict	XorY	d	Left Item	2	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	49	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	a congressman	an elderly person	XorY	k	Right Item	775	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	50	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	a convict	a thief	XorY	k	Right Item	1288	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	51	1	680	0	k	W	300	0	burntHouse	simpleChoice	an assassin	a convict	XorY	k	Right Item	1895	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	52	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	a terrorist	an elderly person	XorY	k	Right Item	982	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	53	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	a pedophile	an assassin	XorY	k	Right Item	792	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	54	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	a judge	an adult	XorY	d	Left Item	752	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	55	1	680	0	k	W	300	0	hearingAids	simpleChoice	an astronaut	a convict	XorY	d	Left Item	1358	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	56	1	680	0	k	W	300	0	counseling	simpleChoice	a father	a judge	XorY	d	Left Item	1015	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	57	1	680	0	k	W	300	0	paralysis	simpleChoice	a congressman	a nun	XorY	d	Left Item	1293	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	58	1	680	0	k	W	300	0	serviceDog	simpleChoice	an elderly person	a mentor	XorY	d	Left Item	755	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	59	1	680	0	k	W	300	0	burntHouse	simpleChoice	a convict	a congressman	XorY	k	Right Item	926	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	60	1	680	0	k	W	300	0	serviceDog	simpleChoice	a congressman	an addict	XorY	d	Left Item	1286	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	61	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	a mentor	a judge	XorY	d	Left Item	716	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	62	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	a gang member	a mentor	XorY	k	Right Item	700	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	63	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	a mentor	a father	XorY	k	Right Item	897	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	64	1	680	0	k	W	300	0	serviceDog	simpleChoice	a teacher	a congressman	XorY	d	Left Item	969	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	65	1	680	0	k	W	300	0	bucketList	simpleChoice	a terrorist	a rapist	XorY	d	Left Item	1866	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	66	1	680	0	k	W	300	0	bucketList	simpleChoice	an assassin	a police officer	XorY	k	Right Item	806	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	67	1	680	0	k	W	300	0	bucketList	simpleChoice	a teacher	an Olympian	XorY	d	Left Item	1484	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	68	1	680	0	k	W	300	0	serviceDog	simpleChoice	a judge	a congressman	XorY	d	Left Item	947	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	69	1	680	0	k	W	300	0	bucketList	simpleChoice	a teacher	a judge	XorY	d	Left Item	925	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	70	1	680	0	k	W	300	0	counseling	simpleChoice	an elderly person	a judge	XorY	k	Right Item	1008	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	71	1	680	0	k	W	300	0	bucketList	simpleChoice	a judge	a soldier	XorY	d	Left Item	807	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	72	1	680	0	k	W	300	0	legalFees	simpleChoice	a congressman	a police officer	XorY	k	Right Item	895	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	73	1	680	0	k	W	300	0	surgery	simpleChoice	a rapist	a congressman	XorY	k	Right Item	1526	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	74	1	680	0	k	W	300	0	legalFees	simpleChoice	a thief	an astronaut	XorY	k	Right Item	265	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	75	1	680	0	k	W	300	0	burntHouse	simpleChoice	a soldier	a rapist	XorY	d	Left Item	650	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	76	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	an astronaut	an addict	XorY	d	Left Item	898	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	77	1	680	0	k	W	300	0	legalFees	simpleChoice	a convict	an astronaut	XorY	k	Right Item	791	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	78	1	680	0	k	W	300	0	legalFees	simpleChoice	a terrorist	a rapist	XorY	k	Right Item	166	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	79	1	680	0	k	W	300	0	serviceDog	simpleChoice	a celebrity	an elderly person	XorY	d	Left Item	633	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	80	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	a judge	a celebrity	XorY	k	Right Item	581	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	81	1	680	0	k	W	300	0	legalFees	simpleChoice	a congressman	a police officer	XorY	k	Right Item	1062	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	82	1	680	0	k	W	300	0	hearingAids	simpleChoice	a celebrity	an Olympian	XorY	k	Right Item	758	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	83	1	680	0	k	W	300	0	serviceDog	simpleChoice	an Olympian	a mentor	XorY	k	Right Item	786	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	84	1	680	0	k	W	300	0	legalFees	simpleChoice	a terrorist	an astronaut	XorY	k	Right Item	1116	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	85	1	680	0	k	W	300	0	surgery	simpleChoice	a thief	an astronaut	XorY	k	Right Item	997	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	86	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	an adult	an addict	XorY	k	Right Item	1264	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	87	1	680	0	k	W	300	0	paralysis	simpleChoice	a father	a rapist	XorY	d	Left Item	1019	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	88	1	680	0	k	W	300	0	hearingAids	simpleChoice	a terrorist	a congressman	XorY	k	Right Item	888	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	89	1	680	0	k	W	300	0	bucketList	simpleChoice	a mentor	a nun	XorY	d	Left Item	1104	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	90	1	680	0	k	W	300	0	bucketList	simpleChoice	a police officer	an Olympian	XorY	d	Left Item	654	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	91	1	680	0	k	W	300	0	hearingAids	simpleChoice	a terrorist	a teacher	XorY	k	Right Item	25	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	92	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	a celebrity	a teacher	XorY	k	Right Item	823	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	93	1	680	0	k	W	300	0	legalFees	simpleChoice	an adult	a thief	XorY	d	Left Item	880	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	94	1	680	0	k	W	300	0	bucketList	simpleChoice	a nun	an assassin	XorY	d	Left Item	942	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	95	1	680	0	k	W	300	0	surgery	simpleChoice	a gang member	a police officer	XorY	k	Right Item	1221	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	96	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	a thief	a pedophile	XorY	d	Left Item	852	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	100	elaborate	1	97	1	680	0	k	W	300	0	paralysis	simpleChoice	a pedophile	a police officer	XorY	k	Right Item	749	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	0	0	680	0	k	W	300	0	bucketList	simpleChoice	a judge	a police officer	XorY	k	Right Item	3440	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	1	0	680	0	k	W	300	0	serviceDog	simpleChoice	a terrorist	a judge	XorY	k	Right Item	2715	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	2	0	680	0	k	W	300	0	physicalTherapy	simpleChoice	an addict	an Olympian	XorY	d	Left Item	4789	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	3	0	680	0	k	W	300	0	paralysis	simpleChoice	a gang member	a father	XorY	k	Right Item	1302	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	4	0	680	0	k	W	300	0	counseling	simpleChoice	an assassin	a thief	XorY	k	Right Item	2155	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	5	0	680	0	k	W	300	0	burntHouse	simpleChoice	an Olympian	a congressman	XorY	d	Left Item	5736	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	6	0	680	0	k	W	300	0	hearingAids	simpleChoice	a nun	a terrorist	XorY	d	Left Item	1989	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	7	0	680	0	k	W	300	0	surgery	simpleChoice	an astronaut	a nun	XorY	k	Right Item	5383	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	0	1	680	0	k	W	300	0	counseling	simpleChoice	a pedophile	an astronaut	XorY	k	Right Item	9550	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	1	1	680	0	k	W	300	0	serviceDog	simpleChoice	a soldier	a father	XorY	d	Left Item	3593	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	2	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	an addict	a gang member	XorY	d	Left Item	5250	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	3	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	an addict	an Olympian	XorY	k	Right Item	2359	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	4	1	680	0	k	W	300	0	burntHouse	simpleChoice	a gang member	a teacher	XorY	k	Right Item	2347	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	5	1	680	0	k	W	300	0	counseling	simpleChoice	a soldier	an assassin	XorY	d	Left Item	2631	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	6	1	680	0	k	W	300	0	burntHouse	simpleChoice	a teacher	a nun	XorY	k	Right Item	4560	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	7	1	680	0	k	W	300	0	hearingAids	simpleChoice	a congressman	a father	XorY	k	Right Item	3611	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	8	-1	680	0	k	W	300	0	burntHouse	simpleChoice	a gang member	a police officer	XorY	N/A	N/A	1482	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	9	1	680	0	k	W	300	0	hearingAids	simpleChoice	an assassin	an addict	XorY	k	Right Item	4230	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	10	-1	680	0	k	W	300	0	counseling	simpleChoice	a celebrity	a thief	XorY	N/A	N/A	6545	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	11	1	680	0	k	W	300	0	burntHouse	simpleChoice	an elderly person	a convict	XorY	d	Left Item	1884	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	12	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	an addict	a gang member	XorY	d	Left Item	3751	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	13	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	an Olympian	an assassin	XorY	d	Left Item	2055	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	14	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	a mentor	a gang member	XorY	d	Left Item	3517	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	15	1	680	0	k	W	300	0	burntHouse	simpleChoice	a father	an addict	XorY	d	Left Item	2809	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	16	1	680	0	k	W	300	0	bucketList	simpleChoice	a gang member	a father	XorY	k	Right Item	1193	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	17	1	680	0	k	W	300	0	bucketList	simpleChoice	a soldier	an addict	XorY	d	Left Item	1345	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	18	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	an elderly person	a judge	XorY	d	Left Item	6345	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	19	1	680	0	k	W	300	0	paralysis	simpleChoice	an addict	a congressman	XorY	k	Right Item	1657	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	20	1	680	0	k	W	300	0	serviceDog	simpleChoice	an adult	a soldier	XorY	k	Right Item	2097	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	21	1	680	0	k	W	300	0	counseling	simpleChoice	a terrorist	a convict	XorY	k	Right Item	5661	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	22	1	680	0	k	W	300	0	counseling	simpleChoice	a nun	a police officer	XorY	k	Right Item	3859	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	23	1	680	0	k	W	300	0	surgery	simpleChoice	a teacher	a judge	XorY	d	Left Item	1682	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	24	1	680	0	k	W	300	0	burntHouse	simpleChoice	a mentor	a rapist	XorY	d	Left Item	1420	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	25	1	680	0	k	W	300	0	hearingAids	simpleChoice	a mother	a congressman	XorY	d	Left Item	1446	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	26	1	680	0	k	W	300	0	paralysis	simpleChoice	an elderly person	a gang member	XorY	d	Left Item	1930	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	27	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	a nun	an astronaut	XorY	d	Left Item	2549	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	28	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	a congressman	a pedophile	XorY	d	Left Item	3769	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	29	1	680	0	k	W	300	0	legalFees	simpleChoice	a rapist	a father	XorY	k	Right Item	975	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	30	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	a mentor	a judge	XorY	d	Left Item	1593	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	31	1	680	0	k	W	300	0	medicalTreatment	simpleChoice	an Olympian	a convict	XorY	d	Left Item	2649	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	32	1	680	0	k	W	300	0	paralysis	simpleChoice	a rapist	a thief	XorY	k	Right Item	1835	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	33	1	680	0	k	W	300	0	counseling	simpleChoice	an addict	an elderly person	XorY	d	Left Item	6183	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	34	1	680	0	k	W	300	0	physicalTherapy	simpleChoice	a mentor	an adult	XorY	d	Left Item	1442	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	35	1	680	0	k	W	300	0	serviceDog	simpleChoice	an Olympian	a thief	XorY	d	Left Item	2218	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	36	1	680	0	k	W	300	0	counseling	simpleChoice	a thief	a pedophile	XorY	d	Left Item	1462	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	37	1	680	0	k	W	300	0	paralysis	simpleChoice	an addict	a judge	XorY	k	Right Item	2440	0	0	0	0	N/A	-1	visible
charityElaborateScenarios	101	elaborate	1	38	1	680	0	k	W	300	0	burntHouse	simpleChoice	a rapist	an astronaut	XorY	k	Right Item	1007	0	0	0	0	N/A	-1	visible
